dept,word,count
SPD,measurement,266
SPD,manager,264
SPD,nature,263
SPD,transportation,262
SPD,domestic,262
SPD,multiple,262
SPD,paper,262
SPD,attempt,261
SPD,side,261
SPD,future,260
SPD,eric,260
SPD,wait,260
SPD,much,260
SPD,copying,260
SPD,specify,259
SPD,human,258
SPD,separate,258
SPD,along,258
SPD,wage,258
SPD,break,257
SPD,media,257
SPD,regardless,256
SPD,regular,255
SPD,violence,255
SPD,tape,255
SPD,jones,254
SPD,scott,254
SPD,understanding,253
SPD,scope,251
SPD,even,251
SPD,immediately,251
SPD,ryan,250
SPD,less,249
SPD,jason,249
SPD,bodycam,248
SPD,approve,248
SPD,another,247
SPD,related,247
SPD,kelly,246
SPD,safe,246
SPD,resource,246
SPD,very,245
SPD,fact,244
SPD,grateful,243
SPD,however,242
SPD,fatal,242
SPD,family,241
SPD,currently,241
SPD,begin,240
SPD,chris,240
SPD,discuss,240
SPD,here,238
SPD,birth,238
SPD,outside,237
SPD,initial,236
SPD,municipal,235
SPD,sheet,235
SPD,capture,234
SPD,alex,234
SPD,requirement,233
SPD,author,232
SPD,twice,231
SPD,christopher,230
SPD,anyone,230
SPD,connection,229
SPD,team,228
SPD,great,228
SPD,transcript,227
SPD,uber,227
SPD,confirm,226
SPD,front,226
SPD,anthony,225
SPD,frame,225
SPD,prior,225
SPD,conversation,225
SPD,invoice,224
SPD,page,224
SPD,remove,221
SPD,trust,221
SPD,demand,220
SPD,interested,220
SPD,lawsuit,220
SPD,setting,219
SPD,emergency,219
SPD,nathan,219
SPD,facebook,219
SPD,president,219
SPD,expect,219
SPD,support,219
SPD,reporter,218
SPD,infraction,218
SPD,datetime,218
SPD,thing,217
SPD,article,217
SPD,lane,217
SPD,method,217
SPD,warrant,216
SPD,else,216
SPD,lyft,215
SPD,operation,214
SPD,destruction,214
SPD,customer,213
SPD,william,213
SPD,abdul,213
SPD,district,213
SPD,particular,212
SPD,entry,212
SPD,although,211
SPD,center,211
SPD,guled,210
SPD,supplemental,210
SPD,firearm,209
SPD,worker,208
SPD,yates,208
SPD,extend,208
SPD,icer,208
SPD,yusef,208
SPD,lake,208
SPD,mobile,207
SPD,charles,207
SPD,active,206
SPD,february,206
SPD,deny,205
SPD,student,205
SPD,agent,204
SPD,presumption,204
SPD,breath,204
SPD,among,204
SPD,engineer,204
SPD,hill,203
SPD,neighborhood,203
SPD,private,203
SPD,see,202
SPD,vendor,202
SPD,telephone,202
SPD,bonus,202
SPD,parcel,201
SPD,something,201
SPD,health,201
SPD,administer,200
SPD,advocacy,199
SPD,basis,199
SPD,johnson,199
SPD,elizabeth,198
SPD,wilson,198
SPD,samuel,198
SPD,certified,198
SPD,meet,197
SPD,axon,197
SPD,espinoza,195
SPD,deal,195
SPD,group,195
SPD,publish,194
SPD,version,194
SPD,preserve,194
SPD,station,194
SPD,iapro,193
SPD,gray,193
SPD,ticket,193
SPD,standard,193
SPD,deliver,193
SPD,jesse,193
SPD,correspond,193
SPD,turn,192
SPD,patrick,192
SPD,erik,192
SPD,dear,192
SPD,element,191
SPD,feel,191
SPD,attend,191
SPD,kent,191
SPD,assume,191
SPD,think,190
SPD,permitting,190
SPD,intend,190
SPD,twitter,189
SPD,creighton,189
SPD,keith,189
SPD,affidavit,188
SPD,door,187
SPD,retrieve,187
SPD,pdr,187
SPD,inside,187
SPD,overtime,186
SPD,rate,186
SPD,build,186
SPD,auderer,186
SPD,planning,186
SPD,hala,186
SPD,cause,186
SPD,raul,185
SPD,volunteer,185
SPD,sure,185
SPD,shane,185
SPD,waste,185
SPD,retain,184
SPD,goodwin,184
SPD,luckie,184
SPD,dvd,184
SPD,display,184
SPD,black,183
SPD,direct,183
SPD,thursday,183
SPD,morning,183
SPD,cass,183
SPD,kraus,183
SPD,randall,183
SPD,newsome,183
SPD,coma,182
SPD,gathering,182
SPD,bonesteel,181
SPD,didier,181
SPD,pratt,181
SPD,eastman,181
SPD,willoughby,181
SPD,drummond,181
SPD,distinguish,181
SPD,byrd,181
SPD,worry,181
SPD,bradrick,180
SPD,alstrin,180
SPD,kallis,180
SPD,ponha,180
SPD,dunbar,180
SPD,kekoa,180
SPD,yama,180
SPD,loux,180
SPD,canek,180
SPD,jokela,180
SPD,rees,180
SPD,vaca,180
SPD,foreman,180
SPD,dyment,180
SPD,eastgard,180
SPD,kellett,180
SPD,gordillo,180
SPD,market,179
SPD,ever,179
SPD,privacy,179
SPD,screenshot,179
SPD,union,178
SPD,lopez,178
SPD,nelson,178
SPD,assist,178
SPD,financial,177
SPD,qualify,177
SPD,hence,176
SPD,filename,175
SPD,brief,175
SPD,clarification,175
SPD,organization,174
SPD,model,174
SPD,again,174
SPD,captain,174
SPD,gather,174
SPD,sound,174
SPD,second,173
SPD,word,172
SPD,clerk,172
SPD,applicable,172
SPD,senior,172
SPD,return,172
SPD,radio,172
SPD,owner,172
SPD,designate,171
SPD,underlie,171
SPD,transmission,171
SPD,personally,171
SPD,arrive,171
SPD,commission,171
SPD,acceptable,171
SPD,previously,170
SPD,trespass,170
SPD,mark,170
SPD,appeal,170
SPD,task,169
SPD,murder,169
SPD,describe,169
SPD,bonnie,169
SPD,whatsoever,169
SPD,braggs,168
SPD,routinely,168
SPD,annuity,168
SPD,afford,168
SPD,disallow,168
SPD,federal,168
SPD,friday,167
SPD,sent,167
SPD,evaluation,167
SPD,research,167
SPD,custom,167
SPD,subset,167
SPD,consent,167
SPD,encampment,167
SPD,settlement,166
SPD,attention,166
SPD,robert,166
SPD,least,165
SPD,rather,164
SPD,extent,164
SPD,zone,164
SPD,early,164
SPD,recent,163
SPD,true,163
SPD,template,163
SPD,unfounded,163
SPD,fail,162
SPD,stuart,162
SPD,pio,162
SPD,finest,162
SPD,assignment,161
SPD,walter,161
SPD,pierce,161
SPD,winningham,161
SPD,miss,161
SPD,segregable,161
SPD,card,161
SPD,bill,160
SPD,homeless,160
SPD,times,160
SPD,whole,159
SPD,cover,158
SPD,truck,158
SPD,shoot,158
SPD,especially,158
SPD,normal,158
SPD,hello,157
SPD,local,157
SPD,bagshaw,157
SPD,voice,156
SPD,international,156
SPD,faith,156
SPD,jail,156
SPD,acknowledge,156
SPD,hear,156
SPD,participant,156
SPD,affair,155
SPD,screen,155
SPD,evidentiary,155
SPD,reasonably,154
SPD,thereof,154
SPD,recreation,154
SPD,update,153
SPD,authorization,152
SPD,store,152
SPD,fast,152
SPD,estimate,152
SPD,source,152
SPD,association,152
SPD,corporation,151
SPD,emphasis,151
SPD,real,151
SPD,superior,150
